state,year,name,sex,count,rank_within_sex,per_100k_within_sex
US,1880,Mary,F,7065,1,7764.4
US,1880,John,M,9655,1,8738.3
US,1880,Anna,F,2604,2,2861.8
US,1880,William,M,9531,2,8626.1
US,1880,Emma,F,2003,3,2201.3
US,1880,James,M,5927,3,5364.3
US,1880,Elizabeth,F,1939,4,2131.0
US,1880,Charles,M,5348,4,4840.3
US,1880,Minnie,F,1746,5,1918.9
US,1880,George,M,5126,5,4639.3
US,1880,Margaret,F,1578,6,1734.2
US,1880,Frank,M,3242,6,2934.2
US,1880,Ida,F,1472,7,1617.7
US,1880,Joseph,M,2632,7,2382.1
US,1880,Alice,F,1414,8,1554.0
US,1880,Thomas,M,2534,8,2293.4
US,1880,Bertha,F,1320,9,1450.7
US,1880,Henry,M,2444,9,2212.0
US,1880,Sarah,F,1288,10,1415.5
US,1880,Robert,M,2415,10,2185.7
US,1881,Mary,F,6919,1,7524.5
US,1881,John,M,8769,1,8704.3
US,1881,Anna,F,2698,2,2934.1
US,1881,William,M,8524,2,8461.1
US,1881,Emma,F,2034,3,2212.0
US,1881,James,M,5441,3,5400.9
US,1881,Elizabeth,F,1852,4,2014.1
US,1881,George,M,4664,4,4629.6
US,1881,Margaret,F,1658,5,1803.1
US,1881,Charles,M,4636,5,4601.8
US,1881,Minnie,F,1653,6,1797.7
US,1881,Frank,M,2834,6,2813.1
US,1881,Ida,F,1439,7,1564.9
US,1881,Joseph,M,2456,7,2437.9
US,1881,Annie,F,1326,8,1442.0
US,1881,Henry,M,2339,8,2321.7
US,1881,Bertha,F,1324,9,1439.9
US,1881,Thomas,M,2282,9,2265.2
US,1881,Alice,F,1308,10,1422.5
US,1881,Edward,M,2177,10,2160.9
US,1882,Mary,F,8148,1,7555.1
US,1882,John,M,9557,1,8406.5
US,1882,Anna,F,3143,2,2914.3
US,1882,William,M,9298,2,8178.7
US,1882,Emma,F,2303,3,2135.4
US,1882,James,M,5892,3,5182.7
US,1882,Elizabeth,F,2186,4,2026.9
US,1882,George,M,5193,4,4567.8
US,1882,Minnie,F,2004,5,1858.2
US,1882,Charles,M,5091,5,4478.1
US,1882,Margaret,F,1821,6,1688.5
US,1882,Frank,M,3176,6,2793.7
US,1882,Ida,F,1673,7,1551.3
US,1882,Joseph,M,2670,7,2348.6
US,1882,Alice,F,1542,8,1429.8
US,1882,Thomas,M,2610,8,2295.8
US,1882,Bertha,F,1508,9,1398.3
US,1882,Henry,M,2579,9,2268.5
US,1882,Annie,F,1492,10,1383.4
US,1882,Robert,M,2500,10,2199.0
US,1883,Mary,F,8012,1,7133.3
US,1883,John,M,8894,1,8500.7
US,1883,Anna,F,3306,2,2943.4
US,1883,William,M,8387,2,8016.1
US,1883,Emma,F,2367,3,2107.4
US,1883,James,M,5223,3,4992.0
US,1883,Elizabeth,F,2255,4,2007.7
US,1883,Charles,M,4826,4,4612.6
US,1883,Minnie,F,2035,5,1811.8
US,1883,George,M,4736,5,4526.6
US,1883,Margaret,F,1881,6,1674.7
US,1883,Frank,M,2986,6,2853.9
US,1883,Bertha,F,1681,7,1496.6
US,1883,Joseph,M,2515,7,2403.8
US,1883,Ida,F,1634,8,1454.8
US,1883,Henry,M,2383,8,2277.6
US,1883,Annie,F,1589,9,1414.7
US,1883,Robert,M,2334,9,2230.8
US,1883,Clara,F,1548,10,1378.2
US,1883,Thomas,M,2316,10,2213.6
US,1884,Mary,F,9217,1,7143.9
US,1884,John,M,9388,1,8203.2
US,1884,Anna,F,3860,2,2991.8
US,1884,William,M,8897,2,7774.2
US,1884,Emma,F,2587,3,2005.1
US,1884,James,M,5693,3,4974.5
US,1884,Elizabeth,F,2549,4,1975.7
US,1884,George,M,4961,4,4334.9
US,1884,Minnie,F,2243,5,1738.5
US,1884,Charles,M,4802,5,4196.0
US,1884,Margaret,F,2142,6,1660.2
US,1884,Frank,M,3218,6,2811.9
US,1884,Ida,F,1882,7,1458.7
US,1884,Joseph,M,2707,7,2365.4
US,1884,Clara,F,1852,8,1435.4
US,1884,Thomas,M,2572,8,2247.4
US,1884,Bertha,F,1789,9,1386.6
US,1884,Henry,M,2474,9,2161.8
US,1884,Annie,F,1739,10,1347.9
US,1884,Robert,M,2468,10,2156.5
US,1885,Mary,F,9128,1,6860.3
US,1885,John,M,8756,1,8122.5
US,1885,Anna,F,3994,2,3001.8
US,1885,William,M,8044,2,7462.0
US,1885,Emma,F,2728,3,2050.3
US,1885,James,M,5175,3,4800.6
US,1885,Elizabeth,F,2582,4,1940.6
US,1885,George,M,4674,4,4335.8
US,1885,Margaret,F,2204,5,1656.5
US,1885,Charles,M,4599,5,4266.3
US,1885,Minnie,F,2178,6,1636.9
US,1885,Frank,M,3067,6,2845.1
US,1885,Clara,F,1910,7,1435.5
US,1885,Joseph,M,2540,7,2356.2
US,1885,Bertha,F,1860,8,1397.9
US,1885,Henry,M,2406,8,2231.9
US,1885,Ida,F,1854,9,1393.4
US,1885,Robert,M,2322,9,2154.0
US,1885,Annie,F,1703,10,1279.9
US,1885,Thomas,M,2266,10,2102.1
US,1886,Mary,F,9889,1,6842.0
US,1886,John,M,9026,1,8147.3
US,1886,Anna,F,4283,2,2963.3
US,1886,William,M,8252,2,7448.7
US,1886,Emma,F,2764,3,1912.4
US,1886,James,M,5355,3,4833.7
US,1886,Elizabeth,F,2680,4,1854.2
US,1886,George,M,4671,4,4216.3
US,1886,Minnie,F,2372,5,1641.1
US,1886,Charles,M,4533,5,4091.7
US,1886,Margaret,F,2275,6,1574.0
US,1886,Frank,M,3127,6,2822.6
US,1886,Ida,F,2049,7,1417.7
US,1886,Joseph,M,2594,7,2341.5
US,1886,Bertha,F,2001,8,1384.4
US,1886,Robert,M,2444,8,2206.1
US,1886,Clara,F,1916,9,1325.6
US,1886,Henry,M,2404,9,2170.0
US,1886,Florence,F,1860,10,1286.9
US,1886,Thomas,M,2337,10,2109.5
US,1887,Mary,F,9888,1,6773.5
US,1887,John,M,8110,1,7996.8
US,1887,Anna,F,4227,2,2895.6
US,1887,William,M,7470,2,7365.8
US,1887,Elizabeth,F,2681,3,1836.5
US,1887,James,M,4768,3,4701.5
US,1887,Emma,F,2647,4,1813.2
US,1887,George,M,4284,4,4224.2
US,1887,Margaret,F,2419,5,1657.1
US,1887,Charles,M,4031,5,3974.8
US,1887,Minnie,F,2215,6,1517.3
US,1887,Frank,M,2883,6,2842.8
US,1887,Bertha,F,2037,7,1395.4
US,1887,Joseph,M,2456,7,2421.7
US,1887,Clara,F,1984,8,1359.1
US,1887,Henry,M,2228,8,2196.9
US,1887,Florence,F,1964,9,1345.4
US,1887,Thomas,M,2151,9,2121.0
US,1887,Ida,F,1929,10,1321.4
US,1887,Edward,M,2125,10,2095.4
US,1887,Robert,M,2125,10,2095.4
US,1888,Mary,F,11754,1,6580.3
US,1888,John,M,9247,1,7651.6
US,1888,Anna,F,4982,2,2789.1
US,1888,William,M,8705,2,7203.1
US,1888,Elizabeth,F,3224,3,1804.9
US,1888,James,M,5562,3,4602.4
US,1888,Emma,F,3087,4,1728.2
US,1888,George,M,4912,4,4064.5
US,1888,Margaret,F,2904,5,1625.8
US,1888,Charles,M,4591,5,3798.9
US,1888,Minnie,F,2654,6,1485.8
US,1888,Frank,M,3459,6,2862.2
US,1888,Bertha,F,2450,7,1371.6
US,1888,Joseph,M,2993,7,2476.6
US,1888,Florence,F,2444,8,1368.2
US,1888,Robert,M,2814,8,2328.5
US,1888,Ethel,F,2374,9,1329.0
US,1888,Harry,M,2759,9,2283.0
US,1888,Bessie,F,2278,10,1275.3
US,1888,Henry,M,2596,10,2148.1
US,1889,Mary,F,11648,1,6530.4
US,1889,John,M,8548,1,7730.0
US,1889,Anna,F,5062,2,2838.0
US,1889,William,M,7772,2,7028.3
US,1889,Elizabeth,F,3058,3,1714.5
US,1889,James,M,5020,3,4539.6
US,1889,Margaret,F,2917,4,1635.4
US,1889,George,M,4430,4,4006.1
US,1889,Emma,F,2884,5,1616.9
US,1889,Charles,M,4199,5,3797.2
US,1889,Minnie,F,2624,6,1471.1
US,1889,Frank,M,2975,6,2690.3
US,1889,Florence,F,2465,7,1382.0
US,1889,Joseph,M,2729,7,2467.9
US,1889,Ethel,F,2463,8,1380.9
US,1889,Harry,M,2559,8,2314.1
US,1889,Bessie,F,2343,9,1313.6
US,1889,Robert,M,2513,9,2272.5
US,1889,Clara,F,2319,10,1300.1
US,1889,Edward,M,2299,10,2079.0
US,1890,Mary,F,12078,1,6344.3
US,1890,John,M,8502,1,7657.7
US,1890,Anna,F,5233,2,2748.8
US,1890,William,M,7494,2,6749.8
US,1890,Elizabeth,F,3112,3,1634.7
US,1890,James,M,5097,3,4590.9
US,1890,Margaret,F,3100,4,1628.4
US,1890,George,M,4458,4,4015.3
US,1890,Emma,F,2980,5,1565.3
US,1890,Charles,M,4061,5,3657.7
US,1890,Florence,F,2744,6,1441.4
US,1890,Frank,M,3078,6,2772.3
US,1890,Ethel,F,2718,7,1427.7
US,1890,Joseph,M,2670,7,2404.9
US,1890,Minnie,F,2650,8,1392.0
US,1890,Robert,M,2541,8,2288.7
US,1890,Clara,F,2496,9,1311.1
US,1890,Henry,M,2349,9,2115.7
US,1890,Bertha,F,2388,10,1254.4
US,1890,Harry,M,2345,10,2112.1
US,1891,Mary,F,11703,1,6309.5
US,1891,John,M,7680,1,7589.5
US,1891,Anna,F,5099,2,2749.1
US,1891,William,M,6763,2,6683.3
US,1891,Margaret,F,3065,3,1652.5
US,1891,James,M,4516,3,4462.8
US,1891,Elizabeth,F,3059,4,1649.2
US,1891,George,M,3931,4,3884.7
US,1891,Emma,F,2884,5,1554.9
US,1891,Charles,M,3640,5,3597.1
US,1891,Florence,F,2715,6,1463.8
US,1891,Frank,M,2652,6,2620.7
US,1891,Ethel,F,2689,7,1449.7
US,1891,Joseph,M,2572,7,2541.7
US,1891,Minnie,F,2428,8,1309.0
US,1891,Robert,M,2240,8,2213.6
US,1891,Helen,F,2417,9,1303.1
US,1891,Harry,M,2132,9,2106.9
US,1891,Bertha,F,2372,10,1278.8
US,1891,Henry,M,2049,10,2024.8
US,1892,Mary,F,13172,1,6203.2
US,1892,John,M,9039,1,7406.8
US,1892,Anna,F,5542,2,2610.0
US,1892,William,M,7782,2,6376.8
US,1892,Elizabeth,F,3461,3,1629.9
US,1892,James,M,5398,3,4423.3
US,1892,Margaret,F,3435,4,1617.7
US,1892,George,M,4760,4,3900.5
US,1892,Ruth,F,3290,5,1549.4
US,1892,Charles,M,4319,5,3539.1
US,1892,Florence,F,3154,6,1485.3
US,1892,Frank,M,3150,6,2581.2
US,1892,Emma,F,3128,7,1473.1
US,1892,Joseph,M,3064,7,2510.7
US,1892,Ethel,F,3035,8,1429.3
US,1892,Robert,M,2710,8,2220.7
US,1892,Helen,F,2936,9,1382.7
US,1892,Harry,M,2460,9,2015.8
US,1892,Clara,F,2661,10,1253.2
US,1892,Henry,M,2452,10,2009.2
US,1893,Mary,F,12784,1,6004.6
US,1893,John,M,8049,1,7166.3
US,1893,Anna,F,5695,2,2674.9
US,1893,William,M,7223,2,6430.9
US,1893,Ruth,F,3658,3,1718.1
US,1893,James,M,5029,3,4477.5
US,1893,Margaret,F,3565,4,1674.5
US,1893,George,M,4320,4,3846.3
US,1893,Elizabeth,F,3360,5,1578.2
US,1893,Charles,M,3723,5,3314.7
US,1893,Helen,F,3249,6,1526.0
US,1893,Joseph,M,2997,6,2668.3
US,1893,Florence,F,3231,7,1517.6
US,1893,Frank,M,2917,7,2597.1
US,1893,Ethel,F,3119,8,1465.0
US,1893,Robert,M,2563,8,2281.9
US,1893,Emma,F,2968,9,1394.0
US,1893,Edward,M,2309,9,2055.8
US,1893,Bertha,F,2623,10,1232.0
US,1893,Harry,M,2245,10,1998.8
US,1894,Mary,F,13151,1,5899.4
US,1894,John,M,8238,1,7115.8
US,1894,Anna,F,5565,2,2496.4
US,1894,William,M,7274,2,6283.1
US,1894,Margaret,F,3701,3,1660.2
US,1894,James,M,5110,3,4413.9
US,1894,Helen,F,3676,4,1649.0
US,1894,George,M,4365,4,3770.4
US,1894,Elizabeth,F,3425,5,1536.4
US,1894,Charles,M,3788,5,3272.0
US,1894,Ruth,F,3372,6,1512.6
US,1894,Joseph,M,2977,6,2571.5
US,1894,Ethel,F,3287,7,1474.5
US,1894,Frank,M,2863,7,2473.0
US,1894,Florence,F,3233,8,1450.3
US,1894,Robert,M,2497,8,2156.9
US,1894,Emma,F,2937,9,1317.5
US,1894,Henry,M,2278,9,1967.7
US,1894,Marie,F,2649,10,1188.3
US,1894,Harry,M,2189,10,1890.8
US,1895,Mary,F,13446,1,5755.3
US,1895,John,M,8320,1,7087.1
US,1895,Anna,F,5950,2,2546.8
US,1895,William,M,7277,2,6198.7
US,1895,Helen,F,4023,3,1722.0
US,1895,James,M,5335,3,4544.4
US,1895,Margaret,F,3931,4,1682.6
US,1895,George,M,4289,4,3653.4
US,1895,Elizabeth,F,3603,5,1542.2
US,1895,Charles,M,3633,5,3094.7
US,1895,Ruth,F,3551,6,1519.9
US,1895,Frank,M,3012,6,2565.7
US,1895,Florence,F,3471,7,1485.7
US,1895,Joseph,M,2992,7,2548.6
US,1895,Ethel,F,3391,8,1451.5
US,1895,Robert,M,2635,8,2244.5
US,1895,Marie,F,3011,9,1288.8
US,1895,Henry,M,2221,9,1891.9
US,1895,Emma,F,2952,10,1263.5
US,1895,Edward,M,2203,10,1876.6
US,1896,Mary,F,13811,1,5804.9
US,1896,John,M,8139,1,6807.0
US,1896,Anna,F,5860,2,2463.0
US,1896,William,M,7747,2,6479.2
US,1896,Helen,F,4392,3,1846.0
US,1896,James,M,5207,3,4354.8
US,1896,Margaret,F,4051,4,1702.7
US,1896,George,M,4286,4,3584.6
US,1896,Ruth,F,3905,5,1641.3
US,1896,Charles,M,3639,5,3043.5
US,1896,Ethel,F,3502,6,1471.9
US,1896,Joseph,M,3051,6,2551.7
US,1896,Elizabeth,F,3471,7,1458.9
US,1896,Frank,M,2845,7,2379.4
US,1896,Florence,F,3323,8,1396.7
US,1896,Robert,M,2719,8,2274.0
US,1896,Marie,F,3087,9,1297.5
US,1896,Edward,M,2296,9,1920.2
US,1896,Emma,F,2872,10,1207.1
US,1896,Henry,M,2183,10,1825.7
US,1897,Mary,F,13413,1,5727.2
US,1897,John,M,7550,1,6695.8
US,1897,Anna,F,5429,2,2318.1
US,1897,William,M,7199,2,6384.5
US,1897,Helen,F,4519,3,1929.5
US,1897,James,M,5113,3,4534.5
US,1897,Margaret,F,4146,4,1770.3
US,1897,George,M,4078,4,3616.6
US,1897,Ruth,F,3878,5,1655.8
US,1897,Charles,M,3341,5,2963.0
US,1897,Elizabeth,F,3442,6,1469.7
US,1897,Joseph,M,2827,6,2507.1
US,1897,Florence,F,3369,7,1438.5
US,1897,Frank,M,2726,7,2417.6
US,1897,Ethel,F,3182,8,1358.7
US,1897,Robert,M,2701,8,2395.4
US,1897,Marie,F,3078,9,1314.3
US,1897,Edward,M,2121,9,1881.0
US,1897,Emma,F,2698,10,1152.0
US,1897,Henry,M,1994,10,1768.4
US,1898,Mary,F,14406,1,5567.1
